ds,y
2019-04,1504.27665
2019-03,2828.57695
2019-03,248.17054
2019-03,1264.11926
2019-03,8.3915
2019-03,116.30764
2019-03,256.56204
2019-03,3221.92519
2019-03,20.47857
2019-03,5.88253
2019-03,2944.88459
2019-03,1680.76533
2019-03,15.22557
2019-03,5.253
2019-03,1147.81162
2019-02,2726.6254
2019-02,1189.75093
2019-02,237.39427
2019-02,7.90332
2019-02,1079.90923
2019-02,4.7584
2019-02,1646.71617
2019-02,109.8417
2019-02,245.29759
2019-02,3101.52388
2019-02,19.7592
2019-02,2836.4671
2019-02,5.63838
2019-02,15.0008
2019-01,265.29426
2019-01,1345.09115
2019-01,16.74982
2019-01,274.22002
2019-01,8.92577
2019-01,5.26891
2019-01,3141.69544
2019-01,3267.761
2019-01,6.43742
2019-01,3563.99975
2019-01,22.01873
2019-01,1219.02559
2019-01,126.06556
2019-01,1922.66985
2018-12,6.36979
2018-12,3005.95666
2018-12,5.85983
2018-12,1295.16207
2018-12,1170.17386
2018-12,1835.7828
2018-12,15.4813
2018-12,5.07079
2018-12,270.72697
2018-12,124.98821
2018-12,276.5868
2018-12,3428.08375
2018-12,3130.94487
2018-12,20.55209
2018-11,1115.03034
2018-11,4.51411
2018-11,119.72194
2018-11,6.29662
2018-11,2821.92531
2018-11,6.19984
2018-11,3223.35572
2018-11,2941.64725
2018-11,19.33407
2018-11,262.3744
2018-11,1234.75228
2018-11,256.17456
2018-11,1706.89497
2018-11,14.81997
2018-10,259.30701
2018-10,19.21324
2018-10,2820.62906
2018-10,6.58513
2018-10,252.80033
2018-10,1251.40742
2018-10,1128.45405
2018-10,122.95337
2018-10,1692.17501
2018-10,14.57528
2018-10,6.50668
2018-10,4.63796
2018-10,3222.10268
2018-10,2943.58243
2018-09,6.16363
2018-09,15.04187
2018-09,19.67825
2018-09,1216.94527
2018-09,1892.24569
2018-09,4.63638
2018-09,247.06428
2018-09,252.9576
2018-09,127.34459
2018-09,5.89332
2018-09,3509.1714
2018-09,1344.28987
2018-09,3109.19096
2018-09,3236.53555
2018-08,266.454
2018-08,4018.56715
2018-08,7.06242
2018-08,273.08391
2018-08,22.57638
2018-08,3722.90685
2018-08,1389.79958
2018-08,2189.48005
2018-08,17.45223
2018-08,6.62991
2018-08,143.62722
2018-08,5.12415
2018-08,3579.27963
2018-08,1533.42681
2018-07,3764.9884
2018-07,4056.92547
2018-07,3623.22155
2018-07,5.08478
2018-07,2252.89511
2018-07,1370.32644
2018-07,6.66627
2018-07,269.59791
2018-07,141.76686
2018-07,6.78474
2018-07,17.25438
2018-07,262.93164
2018-07,1512.09329
2018-07,22.33916
2018-06,2036.48658
2018-06,3298.13055
2018-06,1261.64397
2018-06,1378.27746
2018-06,248.93948
2018-06,3689.74362
2018-06,5.9253
2018-06,14.98163
2018-06,5.13318
2018-06,254.86478
2018-06,20.11481
2018-06,6.035
2018-06,3414.76404
2018-06,116.63349
2018-05,249.59579
2018-05,1296.67925
2018-05,1822.50716
2018-05,14.25854
2018-05,3394.03118
2018-05,255.53404
2018-05,3119.18641
2018-05,1181.37105
2018-05,19.31073
2018-05,5.66077
2018-05,5.05219
2018-05,3003.87821
2018-05,115.3082
2018-05,5.93825
2018-04,245.71359
2018-04,2741.58672
2018-04,3005.91901
2018-04,1577.48389
2018-04,5.24241
2018-04,2626.53874
2018-04,240.50664
2018-04,14.20167
2018-04,1049.05485
2018-04,115.04798
2018-04,1164.10283
2018-04,4.41703
2018-04,5.20695
2018-04,18.6187
2018-03,2814.22656
2018-03,15.61154
2018-03,20.3024
2018-03,6.39027
2018-03,1140.42072
2018-03,3218.10941
2018-03,261.2977
2018-03,122.28275
2018-03,1673.80584
2018-03,5.61198
2018-03,4.69086
2018-03,2936.50931
2018-03,1262.70347
2018-03,255.68572
2018-02,5.89421
2018-02,1057.21609
2018-02,5.08496
2018-02,4.16013
2018-02,2699.08936
2018-02,241.63981
2018-02,110.08676
2018-02,15.28948
2018-02,1167.30285
2018-02,3075.35048
2018-02,1641.87327
2018-02,246.72476
2018-02,2809.17611
2018-02,19.44961
2018-01,271.86402
2018-01,3469.16741
2018-01,277.50267
2018-01,3768.80456
2018-01,22.13449
2018-01,4.57385
2018-01,6.58651
2018-01,2076.07726
2018-01,5.63865
2018-01,128.16623
2018-01,1393.09015
2018-01,3341.00118
2018-01,1264.92392
2018-01,17.56063
2017-12,273.64424
2017-12,268.19012
2017-12,3099.96292
2017-12,1878.82383
2017-12,4.66135
2017-12,1221.13909
2017-12,6.62713
2017-12,18.96291
2017-12,1351.84949
2017-12,130.71041
2017-12,23.62426
2017-12,3230.67333
2017-12,3527.94183
2017-12,5.45412
2017-11,249.25381
2017-11,114.33736
2017-11,16.80568
2017-11,1112.29434
2017-11,4.36588
2017-11,2728.04643
2017-11,2842.38379
2017-11,1615.75209
2017-11,254.74968
2017-11,6.40917
2017-11,21.17156
2017-11,5.49587
2017-11,3118.30502
2017-11,1226.6317
2017-10,1672.72783
2017-10,4.48269
2017-10,21.25656
2017-10,252.05671
2017-10,6.69946
2017-10,1268.76785
2017-10,1148.41671
2017-10,2941.49568
2017-10,4.84527
2017-10,247.21144
2017-10,120.35114
2017-10,16.77387
2017-10,3214.80895
2017-10,2821.14454
2017-09,242.59314
2017-09,5.02553
2017-09,2982.12479
2017-09,21.66426
2017-09,1786.52036
2017-09,237.56762
2017-09,3101.77118
2017-09,6.22496
2017-09,3366.02858
2017-09,1315.25082
2017-09,4.50756
2017-09,119.64639
2017-09,17.1567
2017-09,1195.60443
2017-08,1416.24113
2017-08,6.66023
2017-08,2118.5823
2017-08,19.23401
2017-08,1282.21585
2017-08,5.75667
2017-08,3400.79815
2017-08,24.10508
2017-08,257.22675
2017-08,134.02528
2017-08,262.98342
2017-08,3534.82342
2017-08,3821.91192
2017-08,4.87106
2017-07,1480.97304
2017-07,135.28165
2017-07,1345.69139
2017-07,2255.76156
2017-07,4025.27051
2017-07,3736.7346
2017-07,264.25796
2017-07,3601.45295
2017-07,19.40131
2017-07,258.02333
2017-07,4.87664
2017-07,24.27795
2017-07,6.49891
2017-07,6.23463
2017-06,3316.28109
2017-06,252.41795
2017-06,6.02997
2017-06,3199.74246
2017-06,17.27939
2017-06,5.40149
2017-06,247.01646
2017-06,21.74452
2017-06,1986.51627
2017-06,4.46513
2017-06,116.53863
2017-06,3590.44356
2017-06,1213.2262
2017-06,1329.76482
2017-05,1779.52918
2017-05,20.16287
2017-05,6.15681
2017-05,247.66338
2017-05,1206.13492
2017-05,15.32071
2017-05,4.84216
2017-05,3253.49036
2017-05,106.84656
2017-05,2985.6641
2017-05,2878.81755
2017-05,242.2158
2017-05,5.44758
2017-05,1099.28836
2017-04,2718.81997
2017-04,19.16087
2017-04,237.18188
2017-04,5.53815
2017-04,5.36969
2017-04,14.59645
2017-04,4.56442
2017-04,1581.38902
2017-04,242.72003
2017-04,1137.43095
2017-04,2614.84428
2017-04,1033.45526
2017-04,2980.70087
2017-04,103.97569
2017-03,1735.91818
2017-03,2950.6137
2017-03,3228.80572
2017-03,21.724
2017-03,17.15495
2017-03,4.56904
2017-03,5.70895
2017-03,5.73451
2017-03,1214.69552
2017-03,2834.09857
2017-03,116.51512
2017-03,1098.1804
2017-03,250.73352
2017-03,256.46802
2017-02,2950.91384
2017-02,4.95121
2017-02,5.56635
2017-02,17.02167
2017-02,1595.73503
2017-02,1095.29128
2017-02,4.14168
2017-02,2587.79339
2017-02,103.23292
2017-02,233.77296
2017-02,238.72418
2017-02,992.05836
2017-02,21.16335
2017-02,2691.02631
2017-01,1268.33788
2017-01,24.37411
2017-01,1934.26728
2017-01,260.2262
2017-01,1147.48417
2017-01,20.003
2017-01,4.37111
2017-01,120.85371
2017-01,5.05173
2017-01,265.27793
2017-01,3492.2572
2017-01,3202.60516
2017-01,6.42445
2017-01,3081.75145
2016-12,1914.70834
2016-12,4.29409
2016-12,6.57618
2016-12,277.75387
2016-12,3217.79016
2016-12,20.07913
2016-12,123.95543
2016-12,5.05779
2016-12,15.78504
2016-12,1303.08183
2016-12,282.81166
2016-12,1179.12639
2016-12,3520.68096
2016-12,3093.83473
2016-11,1032.43549
2016-11,17.8994
2016-11,2742.96844
2016-11,6.11684
2016-11,1590.48527
2016-11,1152.48317
2016-11,4.97964
2016-11,2622.92076
2016-11,120.04767
2016-11,3011.94689
2016-11,4.1233
2016-11,13.7761
2016-11,251.07905
2016-11,246.09942
2016-10,2779.76275
2016-10,2894.55794
2016-10,14.25419
2016-10,114.79519
2016-10,1238.84534
2016-10,4.35202
2016-10,18.60621
2016-10,1655.7126
2016-10,3162.18456
2016-10,249.02042
2016-10,243.7547
2016-10,5.26572
2016-10,1124.05015
2016-10,6.98371
2016-09,15.64004
2016-09,20.13376
2016-09,6.41786
2016-09,248.15288
2016-09,1360.12833
2016-09,3516.29045
2016-09,3248.00382
2016-09,242.27821
2016-09,3112.68938
2016-09,135.31444
2016-09,5.87466
2016-09,1224.81389
2016-09,4.49372
2016-09,1887.87549
2016-08,4094.9622
2016-08,261.72213
2016-08,6.56161
2016-08,5.15881
2016-08,3647.25002
2016-08,18.34757
2016-08,7.16262
2016-08,268.28374
2016-08,3803.17207
2016-08,1551.8041
2016-08,23.50639
2016-08,1395.88204
2016-08,2251.36798
2016-08,155.92206
2016-07,17.94131
2016-07,3833.3895
2016-07,4123.02438
2016-07,3681.35879
2016-07,23.0253
2016-07,6.76252
2016-07,1552.98325
2016-07,2280.40625
2016-07,266.60958
2016-07,5.08399
2016-07,260.14342
2016-07,1400.95254
2016-07,6.46616
2016-07,152.03071
2016-06,3265.51752
2016-06,3402.93858
2016-06,3679.57335
2016-06,256.52954
2016-06,4.58893
2016-06,137.42106
2016-06,15.5163
2016-06,1204.13044
2016-06,6.23036
2016-06,6.76728
2016-06,2061.38708
2016-06,20.10523
2016-06,250.29918
2016-06,1341.55149
2016-05,1731.91599
2016-05,3188.24379
2016-05,1185.36203
2016-05,18.30698
2016-05,6.13303
2016-05,2917.27802
2016-05,1059.59132
2016-05,252.6588
2016-05,125.7707
2016-05,4.25639
2016-05,14.05059
2016-05,2791.50731
2016-05,5.67488
2016-05,246.52576
2016-04,5.56623
2016-04,2698.30669
2016-04,243.07059
2016-04,2959.62481
2016-04,18.24753
2016-04,5.22647
2016-04,1573.3802
