,period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,total-consumption-btu,total-consumption-btu-units
105,2022-09,US,U.S. Total,99,All Sectors,BIO,biomass,108.60702,million MMBtu
106,2022-09,US,U.S. Total,99,All Sectors,AOR,all renewables,478.6096,million MMBtu
107,2022-09,US,U.S. Total,99,All Sectors,ANT,anthracite coal,0.0,million MMBtu
108,2022-09,US,U.S. Total,99,All Sectors,ALL,all fuels,3343.07738,million MMBtu
109,2022-09,US,U.S. Total,99,All Sectors,TPV,estimated total solar photovoltaic,,million MMBtu
110,2022-09,US,U.S. Total,99,All Sectors,SUN,solar,118.53957,million MMBtu
111,2022-09,US,U.S. Total,99,All Sectors,SUB,subbituminous coal,390.4688,million MMBtu
112,2022-09,US,U.S. Total,99,All Sectors,STH,solar thermal,2.52233,million MMBtu
113,2022-09,US,U.S. Total,99,All Sectors,SPV,solar photovoltaic,116.01724,million MMBtu
114,2022-09,US,U.S. Total,99,All Sectors,RFO,residual fuel oil,5.91566,million MMBtu
115,2022-09,US,U.S. Total,99,All Sectors,REN,renewable,627.41791,million MMBtu
116,2022-09,US,U.S. Total,99,All Sectors,RC,refined coal,29.2718,million MMBtu
117,2022-09,US,U.S. Total,99,All Sectors,PET,petroleum,20.03576,million MMBtu
118,2022-09,US,U.S. Total,99,All Sectors,PEL,petroleum liquids,11.48344,million MMBtu
119,2022-09,US,U.S. Total,99,All Sectors,PC,petroleum coke,8.55232,million MMBtu
120,2022-09,US,U.S. Total,99,All Sectors,OTH,other,15.8179,million MMBtu
121,2022-09,US,U.S. Total,99,All Sectors,ORW,other renewables,3.66122,million MMBtu
122,2022-09,US,U.S. Total,99,All Sectors,OOG,other gases,21.69308,million MMBtu
123,2022-09,US,U.S. Total,99,All Sectors,OBW,biomass,13.33626,million MMBtu
124,2022-09,US,U.S. Total,99,All Sectors,OB2,biomass,3.66122,million MMBtu
125,2022-09,US,U.S. Total,99,All Sectors,NUC,nuclear,664.6734,million MMBtu
126,2022-09,US,U.S. Total,99,All Sectors,NGO,natural gas & other gases,1304.65023,million MMBtu
127,2022-09,US,U.S. Total,99,All Sectors,NG,natural gas,1282.95715,million MMBtu
128,2022-09,US,U.S. Total,99,All Sectors,WWW,wood and wood wastes,86.89234,million MMBtu
129,2022-09,US,U.S. Total,99,All Sectors,WOO,waste oil and other oils,0.9141,million MMBtu
130,2022-09,US,U.S. Total,99,All Sectors,WOC,waste coal,6.34807,million MMBtu
131,2022-09,US,U.S. Total,99,All Sectors,WNT,onshore wind turbine,238.87753,million MMBtu
